datum;p1;p2;n1;n2;Gas;zon;p1+p2;n1+n2
06-04-2024;7213,12;6139,34;5947,79;13616,75;6473,63;5393,84;13352,45;19564,54;
07-04-2024;7215,36;6139,34;5971,23;13616,75;6474,33;5419,11;13354,70;19587,98;
08-04-2024;7217,33;6140,87;5971,23;13628,14;6475,83;5434,86;13358,21;19599,37;
09-04-2024;7219,34;6143,5;5971,23;13633,69;6477,32;5444,15;13362,39;19604,92;
10-04-2024;7221,29;6144,13;5971,23;13655,71;6478,75;5471,16;13365,42;19626,94;
11-04-2024;7223,32;6150,64;5971,23;13656,37;6481,10;5474,13;13373,96;19627,60;
12-04-2024;7225,33;6152,43;5971,23;13674,52;6481,96;5496,50;13377,76;19645,75;
13-04-2024;7227,91;6152,43;5988,81;13674,52;6482,62;5518,97;13380,35;19663,33;
14-04-2024;7231,40;6152,43;6003,58;13674,52;6482,99;5537,45;13383,84;19678,10;
15-04-2024;7233,29;6154,24;6003,58;13679,90;6484,91;5546,48;13387,53;19683,48;
16-04-2024;7235,35;6156,51;6003,58;13686,43;6488,36;5555,46;13391,86;19690,1;
17-04-2024;7237,29;6158,74;6003,58;13697,74;6492,3;5570,49;13396,3;19701,32;
18-04-2024;7239,15;6160,35;6003,58;13711,40;6495,65;5589,50;13399,49;19714,98;
19-04-2024;7242,53;6164,90;6003,70;13720,2;6500,60;5602,39;13407,43;19723,72;
20-04-2024;7244,75;6164,90;6014,40;13720,2;6503,85;5617,25;13409,65;19734,42;
21-04-2024;7248,4;6164,90;6031,10;13720,2;6508,24;5638,16;13412,93;19751,12;
22-04-2024;7249,90;6167,23;6031,10;13731,31;6512,26;5653,58;13417,13;19762,41;
23-04-2024;7251,79;6168,44;6031,10;13751,44;6516,46;5678,38;13420,23;19782,54;
24-04-2024;7253,68;6169,54;6031,10;13767,30;6520,24;5697,83;13423,21;19798,40;
25-04-2024;7255,52;6175,6;6031,10;13772,13;6524,67;5706,42;13430,58;19803,23;
26-04-2024;7257,15;6178,13;6031,10;13787,25;6528,28;5725,22;13435,28;19818,35;
27-04-2024;7261,18;6178,13;6041,67;13787,25;6531,17;5738,88;13439,31;19828,92;
28-04-2024;7265,80;6178,13;6047,17;13787,25;6533,39;5748,39;13443,93;19834,42;
29-04-2024;7267,64;6179,30;6047,17;13806,54;6535,14;5771,87;13446,94;19853,71;
30-04-2024;7269,51;6180,70;6047,17;13822,13;6535,86;5791,49;13450,20;19869,30;
01-05-2024;7271,35;6181,62;6047,17;13843,28;6536,15;5816,76;13452,97;19890,45;
02-05-2024;7273,28;6183,42;6047,17;13861,49;6536,47;5839,99;13456,70;19908,66;
03-05-2024;7275,30;6188,68;6047,17;13863,23;6537,71;5844,69;13463,98;19910,40;
04-05-2024;7282,16;6188,68;6057,17;13863,23;6538,61;5857,76;13470,84;19920,40;
05-05-2024;7285,15;6188,68;6076,72;13863,23;6539,56;5881,7;13473,83;19939,95;
06-05-2024;7287,6;6191,7;6076,72;13871,72;6540,16;5892,95;13478,13;19948,44;
07-05-2024;7288,90;6191,90;6076,72;13893,68;6540,76;5918,64;13480,80;19970,40;
08-05-2024;7290,74;6195,15;6076,72;13895,71;6541,95;5924,36;13485,89;19972,43;
09-05-2024;7293,41;6195,15;6094,4;13895,71;6543,12;5945,74;13488,56;19989,75;
10-05-2024;7295,3;6196,36;6094,4;13915,70;6543,78;5970,76;13491,39;20009,74;
11-05-2024;7298,56;6196,36;6112,47;13915,70;6544,11;5994,97;13494,92;20028,17;
12-05-2024;7301,29;6196,36;6133,84;13915,70;6544,37;6020,64;13497,65;20049,54;
13-05-2024;7303,11;6197,89;6133,84;13929,38;6544,54;6034,39;13500,99;20063,22;
14-05-2024;7304,94;6198,50;6133,84;13952,13;6544,94;6061,31;13503,44;20085,97;
15-05-2024;7306,79;6200,73;6133,84;13955,38;6545,10;6068,11;13507,52;20089,22;
16-05-2024;7308,72;6203,36;6133,84;13964,83;6545,36;6081,36;13512,8;20098,67;
17-05-2024;7310,60;6205,69;6133,84;13974,22;6545,56;6094,49;13516,30;20108,6;
18-05-2024;7313,64;6205,69;6145,34;13974,22;6546,4;6109,44;13519,33;20119,56;
19-05-2024;7316,75;6205,69;6157,68;13974,22;6546,21;6124,80;13522,44;20131,90;
20-05-2024;7319,88;6205,69;6164,17;13974,22;6546,41;6134,66;13525,57;20138,39;
21-05-2024;7321,75;6207,30;6164,17;13983,97;6547,2;6148,61;13529,5;20148,14;
22-05-2024;7323,77;6208,72;6164,17;13990,72;6547,18;6158,55;13532,48;20154,89;
23-05-2024;7325,81;6210,66;6164,17;14003,6;6547,45;6174,55;13536,47;20167,23;
24-05-2024;7327,70;6215,56;6164,17;14004,65;6547,70;6180,14;13543,26;20168,82;
25-05-2024;7331,75;6215,56;6171,38;14004,65;6548,19;6191,25;13547,30;20176,3;
26-05-2024;7333,75;6215,56;6180,63;14004,65;6548,39;6202,98;13549,31;20185,28;
27-05-2024;7335,31;6215,71;6180,63;14016,36;6548,39;6216,88;13551,2;20196,99;
28-05-2024;7336,84;6216,6;6180,63;14029,56;6548,39;6232,18;13552,90;20210,19;
29-05-2024;7338,56;6216,95;6180,63;14042,24;6549,16;6248,23;13555,51;20222,87;
30-05-2024;7340,55;6218,35;6180,63;14052,73;6549,65;6262,93;13558,89;20233,36;
31-05-2024;7342,55;6221,16;6180,63;14060,28;6549,99;6277,32;13563,71;20240,91;
01-06-2024;7347,62;6221,16;6182,45;14060,28;6550,82;6281,64;13568,78;20242,73;
02-06-2024;7351,84;6221,16;6192,94;14060,28;6552,26;6296,90;13573,0;20253,22;
03-06-2024;7353,74;6222,43;6192,94;14068,29;6553,16;6309,24;13576,17;20261,23;
04-06-2024;7355,73;6223,79;6192,94;14079,45;6553,71;6324,66;13579,52;20272,39;
05-06-2024;7357,52;6224,41;6192,94;14101,30;6553,94;6351,23;13581,93;20294,24;
06-06-2024;7359,53;6225,47;6192,94;14116,64;6554,56;6372,28;13584,99;20309,58;
07-06-2024;7361,50;6226,5;6192,94;14135,87;6555,1;6395,94;13587,55;20328,81;
08-06-2024;7364,59;6226,5;6207,57;14135,87;6555,34;6414,66;13590,64;20343,44;
09-06-2024;7367,51;6226,5;6228,27;14135,87;6555,57;6439,97;13593,55;20364,14;
10-06-2024;7369,48;6229,92;6228,27;14144,28;6555,88;6452,30;13599,40;20372,55;
11-06-2024;7371,42;6230,80;6228,27;14156,66;6557,10;6467,89;13602,22;20384,93;
12-06-2024;7373,40;6231,52;6228,27;14172,27;6557,70;6487,43;13604,93;20400,54;
13-06-2024;7375,37;6232,63;6228,27;14188,3;6558,26;6508,72;13607,99;20416,30;
14-06-2024;7377,44;6235,24;6228,27;14192,55;6559,81;6517,16;13612,67;20420,82;
15-06-2024;7382,52;6235,24;6238,90;14192,55;6560,29;6531,87;13617,75;20431,45;
16-06-2024;7385,43;6235,24;6251,97;14192,55;6560,81;6548,62;13620,67;20444,52;
17-06-2024;7387,40;6236,20;6251,97;14211,51;6561,8;6572,63;13623,60;20463,48;
18-06-2024;7389,40;6238,10;6251,97;14214,34;6561,23;6578,73;13627,49;20466,31;
